It,PRP,O
's,VBZ,O
come,JJ,O
time,NN,O
to,TO,O
sell,VB,O
my,PRP$,O
450,CD,O
race,NN,O
bike,NN,O
",",",",O
as,IN,O
it,PRP,O
's,VBZ,O
been,VBN,O
sitting,VBG,O
with,IN,O
a,DT,O
hole,NN,O
in,IN,O
the,DT,O
motor,NN,O
for,IN,O
the,DT,O
past,JJ,O
year,NN,O
and,CC,O
I,PRP,O
just,RB,O
have,VBP,O
n't,RB,O
had,VBD,O
time,NN,O
to,TO,O
race,NN,O
.,.,O
It,PRP,O
's,VBZ,O
a,DT,O
fully,RB,O
set-up,JJ,O
2006,CD,O
CRF450R,NNP,O
",",",",O
with,IN,O
:,:,O
-,:,O
Beringer,JJR,O
6-piston,JJ,O
brake,NN,O
system,NN,O
with,IN,O
radial,JJ,O
master,NN,O
cylinder,NN,O
-,:,O
Suspension,NN,O
spring,NN,O
and,CC,O
valved,VBD,O
for,IN,O
supermoto,NN,O
(,(,O
based,VBN,O
around,IN,O
a,DT,O
~170lb,NNP,O
rider,NN,O
),),O
-,:,O
Behr,NN,O
Wheels,NNP,O
(,(,O
16.5,CD,O
Front,NNP,O
",",",",O
17,CD,O
Rear,NNP,O
),),O
-,:,O
Perfectly,RB,O
geared,VBN,O
for,IN,O
our,PRP$,O
Socal,JJ,O
kart/supermoto,NN,O
tracks,NNS,O
-,:,O
A,DT,O
fresh-ish,JJ,O
set,NN,O
of,IN,O
Metzeler,NNP,O
Supermoto,NNP,O
Slicks,NNP,O
(,(,O
K1/Medium,NNP,O
Front,NNP,O
and,CC,O
Rear,NNP,O
),),O
with,IN,O
7-8,JJ,O
days,NNS,O
on,IN,O
them,PRP,O
-,:,O
Billet,VB,O
low-offset,JJ,O
triple,NN,O
clamps,NNS,O
(,(,O
unsure,NN,O
of,IN,O
brand,NN,O
or,CC,O
offset,NN,O
",",",",O
but,CC,O
very,RB,O
high,JJ,O
quality,NN,O
),),O
with,IN,O
1-1/8,JJ,O
'','',O
bar,NN,O
mount,NN,O
and,CC,O
bar,NN,O
-,:,O
Pro,NNP,O
Circuit,NNP,O
Ti-4,NNP,O
Exhaust,NNP,O
-,:,O
Various,JJ,O
other,JJ,O
bits,NNS,O
(,(,O
grippy,JJ,O
pegs,NN,O
",",",",O
quick,JJ,O
turn,NN,O
throttle,NN,O
",",",",O
metal,NN,O
handguards,NNS,O
",",",",O
etc,NN,O
),),O
The,DT,O
motor,NN,O
threw,VBD,O
a,DT,O
rod,NN,O
down,RP,O
the,DT,O
second,JJ,O
straight,NN,O
at,IN,O
Apex,NNP,O
",",",",O
so,IN,O
it,PRP,O
'll,MD,O
need,VB,O
a,DT,O
new,JJ,O
motor,NN,O
",",",",O
or,CC,O
a,DT,O
rebuild,NN,O
with,IN,O
new,JJ,O
cases,NNS,O
.,.,O
Otherwise,VB,O
the,DT,O
bike,NN,O
is,VBZ,O
in,IN,O
fantastic,JJ,O
condition,NN,O
and,CC,O
would,MD,O
be,VB,O
ready,JJ,O
to,TO,O
race,NN,O
.,.,O
PRICING,NN,O
:,:,O
I,PRP,O
'm,VBP,O
asking,VBG,O
$,$,O
1700,CD,P
for,IN,O
the,DT,O
bike,NN,O
without,IN,O
the,DT,O
Beringer,NNP,O
setup,NN,O
",",",",O
and,CC,O
$,$,O
"2,300",CD,O
with,IN,O
.,.,O
(,(,O
The,DT,O
Beringer,NNP,O
setup,VBD,O
regularly,RB,O
sells,VBZ,O
for,IN,O
$,$,O
1100,CD,O
used,VBN,O
.,.,O
),),O
(,(,O
Note,NN,O
:,:,O
one,CD,O
of,IN,O
the,DT,O
photos,NN,O
is,VBZ,O
older,JJR,O
and,CC,O
does,VBZ,O
not,RB,O
have,VB,O
the,DT,O
Beringer,NNP,O
kit,NN,O
installed,VBD,O
.,.,O
),),O
Shoot,NNP,O
me,PRP,O
an,DT,O
email,NN,O
or,CC,O
text,NN,O
if,IN,O
interested,JJ,O
!,.,O
Tags,NNS,O
:,:,O
supermoto,NN,O
race,NN,O
bike,NN,O
track,NN,O
racing,VBG,O
kart,NN,O
dirtbike,NN,O
dirt,NN,O
crf,VBP,O
crf250,NN,O
crf450x,NN,O
crf250r,NN,O
crf250x,NN,O
husqvarna,NN,O
yamaha,NN,O
ktm,NN,O
smc,NN,O
smr,NN,O
