2016,CD,O
SPECIAL,NNP,O
CONSTRUCTION,NNP,O
HARLEY,NNP,O
DAVIDSON,NNP,O
SOFTTAIL,NNP,O
124,CD,O
CUBIC,NNP,O
INCH,NNP,O
S,NNP,O
&,CC,O
S,NNP,O
MOTOR,NNP,O
5,CD,O
SPEED,NNP,O
TRANSMISSION,NNP,O
3,CD,O
INCH,NNP,O
OPEN,NNP,O
BELT,NNP,O
DRIVE,NNP,O
TOO,NNP,O
MANY,NNP,O
NEW,NNP,O
PARTS,NNP,O
TO,NNP,O
LIST,NNP,O
ASKING,NNP,O
$,$,O
"8,500",CD,P
FOR,NNP,O
DETAILS,NNP,O
CONTACT,NNP,O
MIKE,NNP,O
AT,NNP,O
PACIFIC,NNP,O
COAST,NNP,O
CYCLES,NNP,O
THIS,NNP,O
IS,VBZ,O
A,DT,O
LAND,NNP,O
LINE,NNP,O
",",",",O
PLEASE,NNP,O
NO,NNP,O
TEXT,NNP,O
MESSAGES,NNP,O
SERIOUS,NNP,O
BUYERS,NNP,O
ONLY,NNP,O
",",",",O
PLEASE,NNP,O
