Restored,JJ,O
1980,CD,O
's,POS,O
Aprilia,NNP,O
TX,NNP,O
311M,CD,O
-,:,O
GULF,NNP,O
OIL,NNP,O
Trial,NNP,O
motorcycle,NN,O
Completely,RB,O
restored,VBD,O
Beautiful,NNP,O
custom,NN,O
classic,JJ,O
Gulf,NNP,O
Oil,NNP,O
paint,NN,O
job,NN,O
Brand,NNP,O
new,JJ,O
tires,NNS,O
rebuilt,VBP,O
Brembo,NNP,O
brakes,NNS,O
",",",",O
front,JJ,O
&,CC,O
rear,JJ,O
brand,NN,O
new,JJ,O
chain,NN,O
&,CC,O
sprockets,NNS,O
flawless,VBP,O
rims,NNS,O
gas,NN,O
tank,NN,O
was,VBD,O
epoxy,JJ,O
lined,JJ,O
inside,NN,O
.,.,O
set-up,NN,O
for,IN,O
rider,JJR,O
100-180,JJ,O
lbs,NN,O
Adjustable,NNP,O
rear,NN,O
shocks,NNS,O
front,VBP,O
air,NN,O
shocks,NNS,O
clean,VBP,O
title,NN,O
in,IN,O
hand,NN,O
$,$,O
2500,CD,P
