Hello,NNP,O
",",",",O
Selling,VBG,O
my,PRP$,O
Go-ped,JJ,O
sport,NN,O
in,IN,O
working,VBG,O
condition,NN,O
",",",",O
it,PRP,O
was,VBD,O
restored,VBN,O
for,IN,O
my,PRP$,O
nephew,NN,O
but,CC,O
he,PRP,O
did,VBD,O
n't,RB,O
want,VB,O
it,PRP,O
.,.,O
It,PRP,O
has,VBZ,O
a,DT,O
fully,RB,O
rebuilt,VBN,O
engine,NN,O
with,IN,O
new,JJ,O
gaskets,NNS,O
",",",",O
new,JJ,O
air,NN,O
filter,NN,O
with,IN,O
choke,NN,O
",",",",O
new,JJ,O
tires,NNS,O
",",",",O
new,JJ,O
board,NN,O
",",",",O
new,JJ,O
accelerator,NN,O
cable,NN,O
",",",",O
new,JJ,O
gas,NN,O
lines,NNS,O
.,.,O
It,PRP,O
runs,VBZ,O
fine,JJ,O
and,CC,O
has,VBZ,O
the,DT,O
G23,NNP,O
LH,NNP,O
engine,NN,O
",",",",O
I,PRP,O
was,VBD,O
n't,RB,O
able,JJ,O
to,TO,O
find,VB,O
the,DT,O
plastic,NN,O
engine,NN,O
cover,NN,O
.,.,O
The,DT,O
body,NN,O
was,VBD,O
painted,VBN,O
by,IN,O
a,DT,O
shop,NN,O
and,CC,O
has,VBZ,O
3,CD,O
coats,NNS,O
of,IN,O
color,NN,O
and,CC,O
3,CD,O
coats,NNS,O
of,IN,O
clear,JJ,O
.,.,O
Thanks,NNS,O
for,IN,O
looking,VBG,O
",",",",O
Carlos,NNP,O
