2008,CD,O
Harley-Davidson,NNP,O
FLHR,NNP,O
ANV,NNP,O
105th,CD,O
Anniversary,NNP,O
Road,NNP,O
King,NNP,O
Classic,NNP,O
.,.,O
Everything,NNP,O
work,NN,O
good,JJ,O
like,IN,O
new,JJ,O
and,CC,O
registration,NN,O
good,JJ,O
till,NN,O
April,NNP,O
next,JJ,O
year,NN,O
.,.,O
Had,VBD,O
this,DT,O
bike,NN,O
since,IN,O
2008,CD,O
with,IN,O
no,DT,O
accident,NN,O
and,CC,O
garage,NN,O
kept,NN,O
.,.,O
(,(,O
time,NN,O
to,TO,O
let,VB,O
it,PRP,O
go,VB,O
),),O
9Kmiles,CD,O
with,IN,O
clean,JJ,O
title,NN,O
in,IN,O
hand,NN,O
.,.,O
Already,JJ,O
cheap,JJ,O
!,.,O
!,.,O
!,.,O
...,:,O
$,$,O
"11,250",CD,O
...,:,O
Cash,NNP,O
",",",",O
please,NN,O
...,:,O
...,:,O
Call,NN,O
or,CC,O
text,NN,O
...,:,O
http,NN,O
:,:,O
//www.totalmotorcycle.com/photos/2008models/2008models-Harley-Davidson-Touring-FLHRANV105thAnniversaryRoadKingClassic,JJ,O
#,#,O
.WWay1ojyuUl,NN,O
