Perfect,NNP,O
beginner,NN,O
bike,NN,O
",",",",O
250,CD,O
",",",",O
just,RB,O
upgraded,VBN,O
from,IN,O
it,PRP,O
.,.,O
Runs,NNP,O
good,JJ,O
",",",",O
new,JJ,O
Battery,NNP,O
",",",",O
Rear,NNP,O
Tire,NNP,O
",",",",O
Chain,NNP,O
",",",",O
current,JJ,O
Registration,NN,O
until,IN,O
march,JJ,O
2018,CD,O
.,.,O
Has,NNP,O
dent,NN,O
on,IN,O
gas,NN,O
tank,NN,O
",",",",O
but,CC,O
I,PRP,O
have,VBP,O
an,DT,O
extra,JJ,O
tank,NN,O
that,WDT,O
's,VBZ,O
fine,JJ,O
",",",",O
just,RB,O
needs,RB,O
painted,JJ,O
.,.,O
As,IN,O
is,VBZ,O
",",",",O
$,$,O
1200,CD,O
o.b.o,NN,O
